State,Area name,"Less than a high school diploma, 2013-17","High school diploma only, 2013-17","Some college or associate's degree, 2013-17","Bachelor's degree or higher, 2013-17","Percent of adults with less than a high school diploma, 2013-17","Percent of adults with a high school diploma only, 2013-17","Percent of adults completing some college or associate's degree, 2013-17","Percent of adults with a bachelor's degree or higher, 2013-17"
TN,Carroll County,"3,674","8,043","4,606","3,062",19,41.5,23.8,15.8
TN,Carter County,"7,232","16,789","10,936","6,398",17.5,40.6,26.4,15.5
TN,Cheatham County,"3,801","10,444","7,773","5,301",13.9,38.2,28.5,19.4
TN,Chester County,"1,653","4,477","2,943","1,790",15.2,41.2,27.1,16.5
TN,Claiborne County,"4,801","9,112","5,646","2,919",21.4,40.5,25.1,13
TN,Clay County,"1,297","2,530","1,058",715,23.2,45.2,18.9,12.8
TN,Cocke County,"5,332","11,393","5,749","2,890",21,44.9,22.7,11.4
TN,Coffee County,"4,925","13,922","10,923","6,951",13.4,37.9,29.7,18.9
TN,Crockett County,"2,049","4,085","2,438","1,282",20.8,41.5,24.7,13
TN,Cumberland County,"6,796","16,746","12,337","8,189",15.4,38,28,18.6
TN,Davidson County,"55,568","106,573","120,460","181,425",12,23,26,39.1
TN,Decatur County,"1,399","3,718","2,307",966,16.7,44.3,27.5,11.5
TN,DeKalb County,"2,847","5,906","3,016","1,854",20.9,43.4,22.1,13.6
TN,Dickson County,"5,971","15,092","8,817","5,140",17.1,43.1,25.2,14.7
TN,Dyer County,"4,197","9,899","6,748","4,604",16.5,38.9,26.5,18.1
TN,Fayette County,"3,702","9,762","8,667","6,397",13,34.2,30.4,22.4
TN,Fentress County,"2,855","5,639","2,747","1,494",22.4,44.3,21.6,11.7
TN,Franklin County,"4,051","10,860","7,476","5,796",14.4,38.5,26.5,20.6
TN,Gibson County,"5,120","12,678","9,472","5,898",15.4,38.2,28.6,17.8
TN,Giles County,"3,148","9,131","5,148","3,020",15.4,44.7,25.2,14.8
TN,Grainger County,"3,156","7,416","4,070","1,826",19.2,45,24.7,11.1
TN,Greene County,"8,438","21,064","12,301","7,358",17.2,42.8,25,15
TN,Grundy County,"2,493","3,809","1,988","1,022",26.8,40.9,21.3,11
TN,Hamblen County,"7,850","17,821","10,739","7,155",18,40.9,24.7,16.4
TN,Hamilton County,"28,016","68,764","75,124","75,324",11.3,27.8,30.4,30.5
TN,Hancock County,"1,092","2,033","1,164",487,22.9,42.6,24.4,10.2
TN,Hardeman County,"3,949","8,715","3,650","1,999",21.6,47.6,19.9,10.9
TN,Hardin County,"3,700","7,990","4,558","2,404",19.8,42.8,24.4,12.9
TN,Hawkins County,"6,866","17,465","10,813","5,326",17,43.2,26.7,13.2
TN,Haywood County,"2,381","5,614","2,896","1,536",19.2,45.2,23.3,12.4
TN,Henderson County,"3,676","7,769","5,115","2,777",19,40.2,26.5,14.4
TN,Henry County,"3,491","10,852","5,214","3,686",15,46.7,22.4,15.9
TN,Hickman County,"3,650","7,471","4,135","1,881",21.3,43.6,24.1,11
TN,Houston County,"1,304","2,647","1,149",614,22.8,46.3,20.1,10.7
TN,Humphreys County,"2,182","5,721","3,371","1,616",16.9,44.4,26.2,12.5
TN,Jackson County,"1,897","3,994","1,971",689,22.2,46.7,23,8.1
TN,Jefferson County,"6,157","14,243","10,744","6,032",16.6,38.3,28.9,16.2
TN,Johnson County,"3,080","5,546","3,396","1,467",22.8,41.1,25.2,10.9
TN,Knox County,"27,332","77,908","85,694","109,799",9.1,25.9,28.5,36.5
TN,Lake County,"1,502","2,618","1,013",533,26.5,46.2,17.9,9.4
TN,Lauderdale County,"4,454","8,000","3,963","1,543",24.8,44.5,22.1,8.6
TN,Lawrence County,"5,500","12,473","7,198","3,504",19.2,43.5,25.1,12.2
TN,Lewis County,"1,435","3,656","2,415","1,024",16.8,42.9,28.3,12
TN,Lincoln County,"4,054","9,707","5,545","4,314",17.2,41.1,23.5,18.3
TN,Loudon County,"5,464","12,576","9,522","9,779",14.6,33.7,25.5,26.2
TN,McMinn County,"5,923","16,027","9,291","5,670",16,43.4,25.2,15.4
TN,McNairy County,"3,593","7,988","4,313","2,217",19.8,44.1,23.8,12.2
TN,Macon County,"3,303","7,427","3,418","1,507",21.1,47.4,21.8,9.6
TN,Madison County,"7,257","22,150","18,393","16,897",11.2,34.2,28.4,26.1
TN,Marion County,"3,790","7,765","6,035","2,630",18.7,38.4,29.8,13
TN,Marshall County,"3,200","9,455","6,192","2,924",14.7,43.4,28.4,13.4
TN,Maury County,"6,367","21,830","19,513","12,430",10.6,36.3,32.4,20.7
TN,Meigs County,"1,503","3,929","2,278",839,17.6,46,26.6,9.8
TN,Monroe County,"6,991","13,224","8,067","3,759",21.8,41.3,25.2,11.7
TN,Montgomery County,"9,615","34,728","42,673","30,946",8.2,29.4,36.2,26.2
TN,Moore County,580,"1,879","1,218",889,12.7,41.2,26.7,19.5
TN,Morgan County,"2,902","7,900","3,608","1,199",18.6,50.6,23.1,7.7
TN,Obion County,"3,626","9,065","5,368","3,341",16.9,42.4,25.1,15.6
TN,Overton County,"3,126","7,019","3,177","1,992",20.4,45.8,20.7,13
TN,Perry County,"1,432","2,103","1,439",604,25.7,37.7,25.8,10.8
TN,Pickett County,"1,031","1,616","1,027",276,26.1,40.9,26,7
TN,Polk County,"2,360","4,900","3,526","1,311",19.5,40.5,29.1,10.8
TN,Putnam County,"7,056","18,137","11,025","11,941",14.7,37.7,22.9,24.8
TN,Rhea County,"5,020","8,113","5,825","3,135",22.7,36.7,26.4,14.2
TN,Roane County,"5,181","14,640","11,541","7,518",13.3,37.7,29.7,19.3
TN,Robertson County,"6,137","18,279","13,435","8,372",13.3,39.5,29.1,18.1
TN,Rutherford County,"16,978","52,917","56,621","59,024",9.2,28.5,30.5,31.8
TN,Scott County,"3,260","6,735","3,640","1,242",21.9,45.3,24.5,8.3
TN,Sequatchie County,"1,744","4,213","2,868","1,495",16.9,40.8,27.8,14.5
TN,Sevier County,"11,142","24,542","19,545","12,112",16.5,36.4,29,18
TN,Shelby County,"75,338","164,612","181,701","185,715",12.4,27.1,29.9,30.6
TN,Smith County,"2,132","6,330","3,259","1,476",16.2,48,24.7,11.2
TN,Stewart County,"1,187","4,006","2,800","1,424",12.6,42.5,29.7,15.1
TN,Sullivan County,"16,194","40,169","32,095","24,890",14.3,35.4,28.3,22
TN,Sumner County,"12,400","37,494","37,735","31,660",10.4,31.4,31.6,26.5
TN,Tipton County,"5,483","16,239","12,524","6,189",13.6,40.2,31,15.3
TN,Trousdale County,"1,209","2,397","1,480",913,20.2,40,24.7,15.2
TN,Unicoi County,"2,255","5,356","3,598","1,962",17.1,40.7,27.3,14.9
TN,Union County,"3,064","6,285","2,930","1,184",22.8,46.7,21.8,8.8
TN,Van Buren County,799,"1,997",953,411,19.2,48,22.9,9.9
TN,Warren County,"5,673","11,686","6,134","3,938",20.7,42.6,22.4,14.4
TN,Washington County,"9,403","25,929","23,464","27,514",10.9,30,27.2,31.9
TN,Wayne County,"2,580","5,478","2,846","1,359",21,44.7,23.2,11.1
TN,Weakley County,"3,431","8,419","5,153","4,473",16,39.2,24,20.8
TN,White County,"3,223","8,324","4,737","2,293",17.3,44.8,25.5,12.3
TN,Williamson County,"6,152","19,744","31,640","79,802",4.5,14.4,23,58.1
TN,Wilson County,"8,153","26,186","27,565","26,135",9.3,29.7,31.3,29.7
TX,Texas,"3,005,904","4,372,430","5,065,702","5,010,395",17.2,25.1,29,28.7
TX,Anderson County,"8,290","14,942","13,447","5,194",19.8,35.7,32.1,12.4
TX,Andrews County,"2,642","3,872","2,858","1,018",25.4,37.3,27.5,9.8
TX,Angelina County,"10,744","17,815","18,867","9,537",18.9,31.3,33.1,16.7
TX,Aransas County,"2,994","5,205","6,499","3,560",16.4,28.5,35.6,19.5
TX,Archer County,544,"2,059","2,113","1,455",8.8,33.4,34.2,23.6
TX,Armstrong County,141,345,584,330,10.1,24.6,41.7,23.6
TX,Atascosa County,"7,354","11,414","7,324","4,340",24.2,37.5,24.1,14.3
TX,Austin County,"3,541","5,940","6,009","4,443",17.8,29.8,30.1,22.3
TX,Bailey County,"1,289","1,196","1,229",624,29.7,27.6,28.3,14.4
TX,Bandera County,"2,126","5,060","5,236","3,875",13,31,32.1,23.8
TX,Bastrop County,"10,236","15,382","16,765","10,776",19.3,28.9,31.5,20.3
TX,Baylor County,312,825,787,635,12.2,32.2,30.8,24.8
TX,Bee County,"6,052","7,801","6,280","2,047",27.3,35.2,28.3,9.2
TX,Bell County,"18,854","54,080","80,559","49,057",9.3,26.7,39.8,24.2
TX,Bexar County,"194,696","304,405","371,056","327,559",16.3,25.4,31,27.3
TX,Blanco County,825,"2,470","2,576","2,337",10.1,30.1,31.4,28.5
TX,Borden County,23,112,120,162,5.5,26.9,28.8,38.8
TX,Bosque County,"2,033","4,584","3,856","2,369",15.8,35.7,30,18.4
TX,Bowie County,"7,940","22,521","20,561","12,159",12.6,35.6,32.5,19.2
TX,Brazoria County,"27,944","57,147","72,588","66,731",12.5,25.5,32.3,29.7
TX,Brazos County,"15,693","22,167","29,213","43,991",14.1,20,26.3,39.6
TX,Brewster County,"1,003","1,523","1,804","2,407",14.9,22.6,26.8,35.7
TX,Briscoe County,220,347,320,249,19.4,30.5,28.2,21.9
TX,Brooks County,"1,332","1,175","1,053",613,31.9,28.2,25.2,14.7
TX,Brown County,"3,699","9,749","7,693","4,569",14.4,37.9,29.9,17.8
TX,Burleson County,"2,288","5,009","3,179","1,817",18.6,40.7,25.9,14.8
TX,Burnet County,"3,974","9,632","10,110","7,521",12.7,30.8,32.4,24.1
TX,Caldwell County,"5,390","9,853","7,096","3,726",20.7,37.8,27.2,14.3
TX,Calhoun County,"2,819","4,705","4,577","2,343",19.5,32.6,31.7,16.2
TX,Callahan County,"1,230","3,815","2,973","1,529",12.9,40,31.1,16
TX,Cameron County,"82,254","60,972","58,134","41,887",33.8,25.1,23.9,17.2
TX,Camp County,"1,364","3,104","2,346","1,363",16.7,38,28.7,16.7
TX,Carson County,281,"1,155","1,435","1,185",6.9,28.5,35.4,29.2
TX,Cass County,"2,949","9,612","5,271","3,216",14,45.7,25,15.3
TX,Castro County,"1,312","1,504","1,288",634,27.7,31.7,27.2,13.4
TX,Chambers County,"3,523","7,483","8,749","5,102",14.2,30.1,35.2,20.5
TX,Cherokee County,"6,987","10,506","10,076","6,095",20.8,31.2,29.9,18.1
TX,Childress County,812,"1,743","1,326",882,17,36.6,27.8,18.5
TX,Clay County,790,"3,017","2,307","1,332",10.6,40.5,31,17.9
TX,Cochran County,611,539,478,192,33.6,29.6,26.3,10.5
TX,Coke County,363,851,697,495,15.1,35.4,29,20.6
TX,Coleman County,"1,109","2,287","1,855",880,18.1,37.3,30.3,14.4
TX,Collin County,"37,831","89,904","164,137","303,055",6.4,15.1,27.6,50.9
TX,Collingsworth County,465,665,610,322,22.6,32.3,29.6,15.6
TX,Colorado County,"2,550","5,189","3,786","2,688",17.9,36.5,26.6,18.9
TX,Comal County,"6,984","22,607","27,739","32,219",7.8,25.2,31,36
TX,Comanche County,"1,730","3,494","2,441","1,750",18.4,37.1,25.9,18.6
TX,Concho County,"1,118",810,617,323,39,28.2,21.5,11.3
TX,Cooke County,"3,566","7,715","8,962","5,945",13.6,29.5,34.2,22.7
TX,Coryell County,"5,562","13,417","20,882","7,241",11.8,28.5,44.3,15.4
TX,Cottle County,261,349,274,177,24.6,32.9,25.8,16.7
TX,Crane County,750,827,973,339,26,28.6,33.7,11.7
TX,Crockett County,605,858,778,219,24.6,34.9,31.6,8.9
TX,Crosby County,929,"1,341",970,483,25,36,26.1,13
TX,Culberson County,573,530,323,141,36.6,33.8,20.6,9
TX,Dallam County,"1,391","1,279","1,167",541,31.8,29.2,26.7,12.4
TX,Dallas County,"351,604","364,902","416,641","488,615",21.7,22.5,25.7,30.1
TX,Dawson County,"2,304","3,029","2,002","1,069",27.4,36,23.8,12.7
TX,Deaf Smith County,"2,990","3,547","2,974","1,573",27,32,26.8,14.2
TX,Delta County,534,"1,256","1,177",624,14.9,35,32.8,17.4
TX,Denton County,"40,369","93,186","153,113","219,464",8,18.4,30.3,43.4
TX,DeWitt County,"2,774","5,923","3,768","1,965",19.2,41,26.1,13.6
TX,Dickens County,317,499,547,244,19.7,31.1,34,15.2
TX,Dimmit County,"2,344","2,015","1,541",661,35.7,30.7,23.5,10.1
TX,Donley County,251,719,854,426,11.2,32,38,18.9
TX,Duval County,"2,388","2,450","1,916",641,32.3,33.1,25.9,8.7
TX,Eastland County,"2,135","4,366","4,434","1,594",17,34.8,35.4,12.7
TX,Ector County,"23,063","27,132","28,081","13,859",25,29.4,30.5,15
TX,Edwards County,402,474,398,331,25,29.5,24.8,20.6
TX,Ellis County,"15,875","30,158","35,517","23,142",15.2,28.8,33.9,22.1
TX,El Paso County,"116,517","121,262","154,271","111,549",23.1,24.1,30.6,22.2
TX,Erath County,"3,468","5,666","7,633","6,446",14.9,24.4,32.9,27.8
TX,Falls County,"2,759","4,497","3,288","1,446",23,37.5,27.4,12.1
TX,Fannin County,"3,535","8,264","8,163","3,867",14.8,34.7,34.3,16.2
TX,Fayette County,"3,063","6,876","4,790","3,245",17,38.3,26.6,18.1
TX,Fisher County,460,855,935,493,16.8,31.2,34.1,18
TX,Floyd County,"1,001",989,"1,174",665,26.1,25.8,30.7,17.4
TX,Foard County,234,334,298,174,22.5,32.1,28.7,16.7
TX,Fort Bend County,"46,565","77,798","121,619","207,135",10.3,17.2,26.8,45.7
TX,Franklin County,937,"2,303","2,522","1,423",13,32.1,35.1,19.8
TX,Freestone County,"2,498","4,812","4,794","1,607",18.2,35.1,35,11.7
TX,Frio County,"4,020","4,001","2,642",827,35,34.8,23,7.2
TX,Gaines County,"4,171","3,289","2,224","1,218",38.3,30.2,20.4,11.2
TX,Galveston County,"25,753","53,959","71,255","63,091",12,25.2,33.3,29.5
TX,Garza County,"2,125","1,399","1,022",516,42,27.6,20.2,10.2
TX,Gillespie County,"1,919","5,673","5,054","6,355",10.1,29.9,26.6,33.4
TX,Glasscock County,235,220,244,237,25.1,23.5,26.1,25.3
TX,Goliad County,540,"1,831","1,922",920,10.4,35.1,36.9,17.6
TX,Gonzales County,"3,533","4,730","3,188","1,743",26.8,35.8,24.2,13.2
TX,Gray County,"3,002","4,997","5,338","1,959",19.6,32.7,34.9,12.8
TX,Grayson County,"10,039","26,722","31,102","17,217",11.8,31.4,36.6,20.2
TX,Gregg County,"12,318","22,892","27,973","16,156",15.5,28.9,35.3,20.4
TX,Grimes County,"3,939","6,661","5,599","2,577",21,35.5,29.8,13.7
TX,Guadalupe County,"11,580","29,428","30,744","26,296",11.8,30,31.4,26.8
TX,Hale County,"5,155","7,083","5,357","3,382",24.6,33.8,25.5,16.1
TX,Hall County,517,609,689,264,24.9,29.3,33.1,12.7
TX,Hamilton County,988,"1,965","1,579","1,336",16.8,33.5,26.9,22.8
TX,Hansford County,993,930,942,543,29.1,27.3,27.6,15.9
TX,Hardeman County,630,950,813,404,22.5,34,29.1,14.4
TX,Hardin County,"4,646","14,314","12,330","6,300",12.4,38.1,32.8,16.8
TX,Harris County,"557,598","668,154","764,871","874,241",19.5,23.3,26.7,30.5
TX,Harrison County,"6,964","14,779","13,677","8,204",16,33.9,31.4,18.8
TX,Hartley County,832,"1,693","1,076",739,19.2,39,24.8,17
TX,Haskell County,"1,319","1,427","1,055",532,30.4,32.9,24.3,12.3
TX,Hays County,"12,644","25,458","34,952","42,119",11,22.1,30.3,36.6
TX,Hemphill County,600,631,692,565,24.1,25.4,27.8,22.7
TX,Henderson County,"9,321","18,926","17,501","10,114",16.7,33.9,31.3,18.1
TX,Hidalgo County,"168,882","107,747","105,473","82,993",36.3,23.2,22.7,17.8
TX,Hill County,"4,508","8,080","7,402","3,921",18.9,33.8,31,16.4
TX,Hockley County,"3,250","4,079","5,032","1,952",22.7,28.5,35.2,13.6
TX,Hood County,"4,401","11,741","13,180","10,461",11.1,29.5,33.1,26.3
TX,Hopkins County,"4,069","8,749","7,006","4,159",17,36.5,29.2,17.3
TX,Houston County,"3,065","6,164","5,008","2,410",18.4,37,30.1,14.5
TX,Howard County,"4,989","8,567","7,991","3,182",20.2,34.6,32.3,12.9
TX,Hudspeth County,"1,204",656,408,187,49,26.7,16.6,7.6
TX,Hunt County,"9,272","20,615","18,481","11,404",15.5,34.5,30.9,19.1
TX,Hutchinson County,"2,057","4,640","5,534","1,946",14.5,32.7,39,13.7
TX,Irion County,65,427,403,156,6.2,40.6,38.3,14.8
TX,Jack County,"1,204","2,600","1,605",696,19.7,42.6,26.3,11.4
TX,Jackson County,"1,494","3,207","3,273","1,783",15.3,32.9,33.5,18.3
TX,Jasper County,"3,375","10,719","7,052","2,783",14.1,44.8,29.5,11.6
TX,Jeff Davis County,360,260,506,642,20.4,14.7,28.6,36.3
TX,Jefferson County,"27,391","55,612","53,893","31,861",16.2,33,31.9,18.9
TX,Jim Hogg County,906,"1,056",868,360,28.4,33.1,27.2,11.3
TX,Jim Wells County,"6,946","9,328","6,541","2,898",27,36.3,25.4,11.3
TX,Johnson County,"16,574","34,442","33,965","19,331",15.9,33,32.6,18.5
TX,Jones County,"3,296","5,864","3,943","1,603",22.4,39.9,26.8,10.9
TX,Karnes County,"2,511","3,737","2,624","1,409",24.4,36.3,25.5,13.7
TX,Kaufman County,"10,342","24,568","23,553","15,221",14,33.3,32,20.7
TX,Kendall County,"1,897","6,126","8,785","10,749",6.9,22.2,31.9,39
TX,Kenedy County,200,89,30,22,58.7,26.1,8.8,6.5
TX,Kent County,113,121,144,118,22.8,24.4,29,23.8
TX,Kerr County,"4,370","10,109","12,679","9,499",11.9,27.6,34.6,25.9
TX,Kimble County,560,"1,130",998,642,16.8,33.9,30,19.3
TX,King County,41,69,56,41,19.8,33.3,27.1,19.8
TX,Kinney County,683,907,767,305,25.7,34.1,28.8,11.5
TX,Kleberg County,"3,852","3,981","5,376","4,196",22.1,22.9,30.9,24.1
TX,Knox County,433,863,654,502,17.7,35.2,26.7,20.5
TX,Lamar County,"5,146","11,455","11,186","5,722",15.4,34.2,33.4,17.1
TX,Lamb County,"2,225","2,714","2,123","1,389",26.3,32.1,25.1,16.4
TX,Lampasas County,"1,608","3,836","5,877","2,854",11.3,27.1,41.5,20.1
TX,La Salle County,"1,613","2,002",709,770,31.7,39.3,13.9,15.1
TX,Lavaca County,"2,111","5,743","3,470","2,386",15.4,41.9,25.3,17.4
TX,Lee County,"1,993","4,250","3,238","2,031",17.3,36.9,28.1,17.6
TX,Leon County,"2,006","4,645","3,176","1,855",17.2,39.8,27.2,15.9
TX,Liberty County,"11,968","20,780","14,582","4,865",22.9,39.8,27.9,9.3
TX,Limestone County,"3,146","5,466","5,219","2,217",19.6,34.1,32.5,13.8
TX,Lipscomb County,422,769,649,426,18.6,33.9,28.6,18.8
TX,Live Oak County,"1,880","3,032","2,839",984,21.5,34.7,32.5,11.3
TX,Llano County,"2,187","4,281","5,398","4,297",13.5,26.5,33.4,26.6
TX,Loving County,13,21,27,3,20.3,32.8,42.2,4.7
TX,Lubbock County,"25,357","45,271","54,139","50,137",14.5,25.9,31,28.7
TX,Lynn County,879,"1,238","1,046",646,23.1,32.5,27.5,17
TX,McCulloch County,"1,229","1,862","1,809",932,21.1,31.9,31,16
TX,McLennan County,"23,695","41,418","49,083","33,923",16,28,33.1,22.9
TX,McMullen County,62,160,96,83,15.5,39.9,23.9,20.7
TX,Madison County,"2,102","3,701","2,606","1,262",21.7,38.3,26.9,13
TX,Marion County,"1,370","2,973","2,232","1,078",17.9,38.8,29.2,14.1
TX,Martin County,725,"1,053",808,671,22.3,32.3,24.8,20.6
TX,Mason County,344,"1,057","1,048",622,11.2,34.4,34.1,20.3
TX,Matagorda County,"5,396","7,891","7,158","3,527",22.5,32.9,29.9,14.7
TX,Maverick County,"13,132","6,768","8,498","3,807",40.8,21,26.4,11.8
TX,Medina County,"5,605","10,374","9,879","6,479",17.3,32.1,30.6,20
TX,Menard County,343,592,445,258,20.9,36.1,27.2,15.8
TX,Midland County,"16,226","25,416","31,264","26,733",16.3,25.5,31.4,26.8
TX,Milam County,"3,044","6,211","4,844","2,493",18.3,37.4,29.2,15
TX,Mills County,572,938,"1,067",769,17.1,28,31.9,23
TX,Mitchell County,"1,465","2,180","1,611",705,24.6,36.6,27,11.8
TX,Montague County,"2,351","4,935","4,107","2,208",17.3,36.3,30.2,16.2
TX,Montgomery County,"43,176","83,779","103,723","117,363",12.4,24.1,29.8,33.7
TX,Moore County,"4,386","3,083","3,503","1,692",34.6,24.3,27.7,13.4
TX,Morris County,"1,044","3,465","2,942","1,422",11.8,39.1,33.2,16
TX,Motley County,76,243,307,116,10.2,32.7,41.4,15.6
TX,Nacogdoches County,"6,431","10,697","10,766","9,405",17.2,28.7,28.9,25.2
TX,Navarro County,"7,157","9,267","10,113","4,910",22.8,29.5,32.2,15.6
TX,Newton County,"1,227","4,737","3,026",872,12.4,48,30.7,8.8
TX,Nolan County,"1,909","3,327","3,224","1,297",19.6,34.1,33,13.3
TX,Nueces County,"41,362","67,676","74,401","48,389",17.8,29.2,32.1,20.9
TX,Ochiltree County,"1,511","1,854","1,696","1,131",24.4,29.9,27.4,18.3
TX,Oldham County,140,337,375,307,12.1,29.1,32.4,26.5
TX,Orange County,"6,123","21,599","19,487","8,789",10.9,38.6,34.8,15.7
TX,Palo Pinto County,"3,177","6,672","6,112","3,170",16.6,34.9,31.9,16.6
TX,Panola County,"2,397","5,179","5,941","2,325",15.1,32.7,37.5,14.7
TX,Parker County,"8,943","23,397","29,427","22,783",10.6,27.7,34.8,26.9
TX,Parmer County,"1,741","2,054","1,301",977,28.7,33.8,21.4,16.1
TX,Pecos County,"3,234","3,888","2,484","1,025",30.4,36.6,23.4,9.6
TX,Polk County,"7,348","12,485","9,594","4,111",21.9,37.2,28.6,12.3
TX,Potter County,"17,923","23,244","23,996","11,306",23.4,30.4,31.4,14.8
TX,Presidio County,"2,145",822,636,914,47.5,18.2,14.1,20.2
TX,Rains County,"1,463","3,308","2,541",884,17.9,40.4,31,10.8
TX,Randall County,"7,127","19,032","32,859","26,449",8.3,22.3,38.4,30.9
TX,Reagan County,696,757,640,259,29.6,32.2,27.2,11
TX,Real County,489,617,782,530,20.2,25.5,32.3,21.9
TX,Red River County,"1,482","3,475","2,707","1,224",16.7,39.1,30.5,13.8
TX,Reeves County,"3,687","2,705","2,448",933,37.7,27.7,25,9.5
TX,Refugio County,996,"1,686","1,658",596,20.2,34.2,33.6,12.1
TX,Roberts County,43,175,193,186,7.2,29.3,32.3,31.2
TX,Robertson County,"1,997","4,056","3,529","1,696",17.7,36,31.3,15
TX,Rockwall County,"4,817","11,851","18,333","23,303",8.3,20.3,31.4,40
TX,Runnels County,"1,504","2,515","1,636","1,338",21.5,36,23.4,19.1
TX,Rusk County,"7,380","11,165","12,032","5,603",20.4,30.9,33.3,15.5
TX,Sabine County,"1,128","3,434","2,319","1,159",14,42.7,28.8,14.4
TX,San Augustine County,"1,226","2,412","1,758",744,20,39.3,28.6,12.1
TX,San Jacinto County,"3,271","9,267","4,659","1,925",17.1,48.5,24.4,10.1
TX,San Patricio County,"9,240","13,741","13,360","6,063",21.8,32.4,31.5,14.3
TX,San Saba County,"1,100","1,240","1,193",626,26.4,29.8,28.7,15.1
TX,Schleicher County,505,415,645,398,25.7,21.1,32.9,20.3
TX,Scurry County,"2,455","3,595","3,275","1,859",22,32.1,29.3,16.6
TX,Shackelford County,332,563,725,612,14.9,25.2,32.5,27.4
TX,Shelby County,"4,012","5,579","4,306","2,501",24.5,34,26.3,15.3
TX,Sherman County,557,521,554,445,26.8,25.1,26.7,21.4
TX,Smith County,"21,902","35,519","50,813","36,401",15.1,24.6,35.1,25.2
TX,Somervell County,892,"1,806","2,080","1,197",14.9,30.2,34.8,20
TX,Starr County,"17,896","8,311","5,384","3,388",51.2,23.8,15.4,9.7
TX,Stephens County,"1,464","2,106","1,782","1,083",22.8,32.7,27.7,16.8
TX,Sterling County,110,351,151,167,14.1,45.1,19.4,21.4
TX,Stonewall County,128,341,225,99,16.1,43,28.4,12.5
TX,Sutton County,614,785,746,528,23,29.4,27.9,19.8
TX,Swisher County,"1,155","1,733","1,493",653,22.9,34.4,29.7,13
TX,Tarrant County,"184,105","301,127","385,090","393,259",14.6,23.8,30.5,31.1
TX,Taylor County,"10,447","24,485","27,441","19,767",12.7,29.8,33.4,24.1
TX,Terrell County,107,160,197,97,19.1,28.5,35.1,17.3
TX,Terry County,"2,528","2,503","2,077","1,045",31,30.7,25.5,12.8
TX,Throckmorton County,201,338,354,223,18,30.3,31.7,20
TX,Titus County,"5,149","5,956","5,552","3,130",26,30.1,28.1,15.8
TX,Tom Green County,"11,731","21,625","23,534","17,804",15.7,29,31.5,23.8
TX,Travis County,"89,336","135,671","192,840","377,376",11.2,17.1,24.2,47.5
TX,Trinity County,"1,747","4,027","3,582","1,243",16.5,38,33.8,11.7
TX,Tyler County,"2,319","6,293","4,614","1,820",15.4,41.8,30.7,12.1
TX,Upshur County,"4,535","9,286","9,012","4,637",16.5,33.8,32.8,16.9
TX,Upton County,485,835,657,247,21.8,37.5,29.5,11.1
TX,Uvalde County,"4,807","4,082","5,269","2,521",28.8,24.5,31.6,15.1
TX,Val Verde County,"9,558","7,489","6,946","5,293",32.6,25.6,23.7,18.1
TX,Van Zandt County,"5,981","12,674","12,219","6,159",16.2,34.2,33,16.6
TX,Victoria County,"10,071","18,356","19,257","11,579",17,31,32.5,19.5
TX,Walker County,"7,560","17,216","11,904","9,316",16.4,37.4,25.9,20.3
TX,Waller County,"5,658","8,069","7,360","5,021",21.7,30.9,28.2,19.2
TX,Ward County,"1,542","2,613","2,083",975,21.4,36.2,28.9,13.5
TX,Washington County,"3,586","6,893","7,192","5,554",15.4,29.7,31,23.9
TX,Webb County,"49,124","39,615","32,925","25,667",33.3,26.9,22.3,17.4
TX,Wharton County,"5,662","8,726","8,419","4,023",21.1,32.5,31.4,15
TX,Wheeler County,786,"1,146","1,268",548,21,30.6,33.8,14.6
TX,Wichita County,"11,619","26,679","26,862","18,786",13.8,31.8,32,22.4
TX,Wilbarger County,"1,821","2,674","2,939","1,333",20.8,30.5,33.5,15.2
TX,Willacy County,"4,699","4,990","2,674","1,230",34.6,36.7,19.7,9
TX,Williamson County,"23,385","68,056","107,096","133,713",7,20.5,32.2,40.2
TX,Wilson County,"4,794","11,156","9,519","6,162",15.2,35.3,30.1,19.5
TX,Winkler County,"1,394","1,311","1,396",489,30.4,28.6,30.4,10.7
TX,Wise County,"6,359","14,640","14,038","7,256",15,34.6,33.2,17.2
TX,Wood County,"4,575","10,974","10,893","5,028",14.5,34.9,34.6,16
TX,Yoakum County,"1,452","1,364","1,325",736,29.8,28,27.2,15.1
TX,Young County,"2,128","4,222","3,481","2,400",17.4,34.5,28.5,19.6
TX,Zapata County,"3,583","2,013","1,519",919,44.6,25.1,18.9,11.4
TX,Zavala County,"2,761","2,074","1,581",530,39.7,29.9,22.8,7.6
UT,Utah,"143,466","397,812","634,661","567,151",8.2,22.8,36.4,32.5
UT,Beaver County,351,"1,472","1,275",702,9.2,38.7,33.6,18.5
UT,Box Elder County,"1,995","9,610","12,024","6,930",6.5,31.4,39.3,22.7
UT,Cache County,"4,055","12,811","21,079","22,167",6.7,21.3,35.1,36.9
UT,Carbon County,"1,351","3,629","6,062","2,052",10.3,27.7,46.3,15.7
UT,Daggett County,24,214,210,46,4.9,43.3,42.5,9.3
UT,Davis County,"8,464","40,788","73,994","70,017",4.4,21.1,38.3,36.2
UT,Duchesne County,"1,455","4,166","4,282","1,683",12.6,36,37,14.5
UT,Emery County,424,"2,066","2,910",956,6.7,32.5,45.8,15
