State,Area name,"Less than a high school diploma, 2013-17","High school diploma only, 2013-17","Some college or associate's degree, 2013-17","Bachelor's degree or higher, 2013-17","Percent of adults with less than a high school diploma, 2013-17","Percent of adults with a high school diploma only, 2013-17","Percent of adults completing some college or associate's degree, 2013-17","Percent of adults with a bachelor's degree or higher, 2013-17"
AR,Montgomery County,"1,436","2,496","1,999",831,21.2,36.9,29.6,12.3
AR,Nevada County,834,"2,619","1,405",997,14.2,44.7,24,17
AR,Newton County,"1,096","2,361","1,429",909,18.9,40.7,24.7,15.7
AR,Ouachita County,"2,491","7,085","4,682","2,576",14.8,42.1,27.8,15.3
AR,Perry County,"1,197","2,902","2,171",932,16.6,40.3,30.1,12.9
AR,Phillips County,"3,018","3,886","4,165","1,413",24.2,31.1,33.4,11.3
AR,Pike County,"1,273","2,765","2,438","1,133",16.7,36.3,32,14.9
AR,Poinsett County,"3,343","7,034","4,358","1,597",20.5,43.1,26.7,9.8
AR,Polk County,"2,081","5,599","4,648","1,768",14.8,39.7,33,12.5
AR,Pope County,"6,393","13,635","11,059","8,877",16,34.1,27.7,22.2
AR,Prairie County,"1,031","2,546","1,601",831,17.2,42.4,26.6,13.8
AR,Pulaski County,"25,500","70,093","80,034","89,148",9.6,26.5,30.2,33.7
AR,Randolph County,"2,132","4,415","3,856","1,761",17.5,36.3,31.7,14.5
AR,St. Francis County,"3,930","7,285","5,510","1,759",21.3,39.4,29.8,9.5
AR,Saline County,"7,904","25,702","26,005","20,433",9.9,32.1,32.5,25.5
AR,Scott County,"1,571","2,910","1,933",729,22,40.7,27.1,10.2
AR,Searcy County,961,"2,552","1,563",765,16.5,43.7,26.8,13.1
AR,Sebastian County,"14,678","26,825","26,741","16,047",17.4,31.8,31.7,19
AR,Sevier County,"3,005","3,705","2,797","1,133",28.2,34.8,26.3,10.6
AR,Sharp County,"2,121","5,189","3,716","1,291",17.2,42.1,30.2,10.5
AR,Stone County,"2,122","3,068","2,718","1,219",23.2,33.6,29.8,13.4
AR,Union County,"4,402","9,891","7,485","5,486",16.1,36.3,27.5,20.1
AR,Van Buren County,"1,869","5,607","3,256","1,589",15.2,45.5,26.4,12.9
AR,Washington County,"21,241","35,790","34,622","42,962",15.8,26.6,25.7,31.9
AR,White County,"7,824","19,462","12,860","10,540",15.4,38.4,25.4,20.8
AR,Woodruff County,"1,106","2,040","1,131",550,22.9,42.3,23.4,11.4
AR,Yell County,"3,071","6,224","3,264","1,987",21.1,42.8,22.4,13.7
CA,California,"4,543,530","5,345,542","7,608,015","8,453,731",17.5,20.6,29.3,32.6
CA,Alameda County,"141,961","203,796","284,098","509,294",12.5,17.9,24.9,44.7
CA,Alpine County,83,277,243,208,10.2,34.2,30,25.6
CA,Amador County,"2,978","7,832","11,745","6,398",10.3,27.1,40.6,22.1
CA,Butte County,"16,411","33,023","57,637","38,847",11.2,22.6,39.5,26.6
CA,Calaveras County,"3,421","9,450","14,775","6,604",10,27.6,43.1,19.3
